file,line,symbol,type,scope,mutability,synchronization,writer_evidence,reader_evidence,owner_identity,reset_teardown_disposition
ggml/src/ggml-sycl/ggml-sycl.cpp,204,t_pp_scratch_profile,pp_scratch_profile_state,anonymous-namespace,mutable,thread-local,unscoped lexical candidate: L215:t_pp_scratch_profile = {}; | L275:t_pp_scratch_profile = {};,unscoped lexical candidate: L216:t_pp_scratch_profile.active = pp_scratch_profile_enabled() && is_prompt_phase; | L220:if (!t_pp_scratch_profile.active) { | L223:t_pp_scratch_profile.current_op = op;,thread,lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,207,enabled,const bool,function-local:pp_scratch_profile_enabled,immutable binding,none evident,unscoped lexical candidate: L431:static const bool enabled = [] { | L440:static const bool enabled = [] { | L448:static const bool enabled = [] {,"unscoped lexical candidate: L211:return enabled; | L393:static std::atomic<int> g_ggml_sycl_unified_dispatch{ -1 }; // -1 = not initialized, 0 = disabled, 1 = enabled | L435:return enabled;",process or function lifetime (review required),not applicable: immutable binding
ggml/src/ggml-sycl/ggml-sycl.cpp,353,g_sycl_loaded,bool,file,mutable,none evident,unscoped lexical candidate: L23261:g_sycl_loaded = false; | L23267:g_sycl_loaded = true;,unscoped lexical candidate: L78636:if (!g_sycl_loaded) {,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,354,g_ggml_sycl_debug,int,file,mutable,none evident,unscoped lexical candidate: L23057:g_ggml_sycl_debug = debug_value;,"unscoped lexical candidate: L365:// normal runs (the mismatch warnings are otherwise gated on g_ggml_sycl_debug, | L3781:(g_ggml_sycl_debug || (route_log_env && std::atoi(route_log_env) != 0))) { | L5381:(g_ggml_sycl_debug || (route_env && std::atoi(route_env) != 0) || (path_env && std::atoi(path_env) != 0)) ?",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,355,g_ggml_sycl_debug_sync,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23081:{ ""GGML_SYCL_DEBUG_SYNC"", &g_ggml_sycl_debug_sync, 0 }, | L23197:GGML_LOG_INFO("" GGML_SYCL_DEBUG_SYNC: %d\n"", g_ggml_sycl_debug_sync); | L88619:if ((g_ggml_sycl_debug_sync || ggml_sycl_selective_debug_sync_enabled(node)) &&",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,357,g_ggml_sycl_tp_debug,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23082:{ ""GGML_SYCL_TP_DEBUG"", &g_ggml_sycl_tp_debug, 0 }, | L23198:GGML_LOG_INFO("" GGML_SYCL_TP_DEBUG: %d\n"", g_ggml_sycl_tp_debug); | L36984:if (g_ggml_sycl_tp_debug && (is_embd || (init_dbg++ < 5))) {",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,358,g_ggml_sycl_tp_async_ffn,int,file,mutable,none evident,none found by unscoped lexical scan,unscoped lexical candidate: L45456:} else if (g_ggml_sycl_tp_async_ffn) {,process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,359,g_ggml_sycl_disable_graph,int,file,mutable,none evident,unscoped lexical candidate: L23117:g_ggml_sycl_disable_graph = 1; | L33800:g_ggml_sycl_disable_graph = 1;,"unscoped lexical candidate: L9285:return g_ggml_sycl_disable_graph || ctx->graphs_disabled || ctx->moe_graphs_disabled; | L18815:return g_ggml_sycl_disable_graph || g_moe_segmented_graph_dispatch_active || g_moe_direct_tg_dispatch_active || | L23083:{ ""GGML_SYCL_DISABLE_GRAPH"", &g_ggml_sycl_disable_graph, 0 },",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,363,g_ggml_sycl_safe_mode,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23084:{ ""GGML_SYCL_SAFE_MODE"", &g_ggml_sycl_safe_mode, 0 }, | L23116:if (g_ggml_sycl_safe_mode && !g_ggml_sycl_disable_graph) { | L23211:if (g_ggml_sycl_safe_mode) {",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,367,g_ggml_sycl_handle_strict,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23085:{ ""GGML_SYCL_HANDLE_STRICT"", &g_ggml_sycl_handle_strict, 0 }, | L23219:if (g_ggml_sycl_handle_strict) {",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,368,g_ggml_sycl_disable_dnn,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23086:{ ""GGML_SYCL_DISABLE_DNN"", &g_ggml_sycl_disable_dnn, 0 }, | L23225:GGML_LOG_INFO("" GGML_SYCL_DISABLE_DNN: %d\n"", g_ggml_sycl_disable_dnn);",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,369,g_ggml_sycl_prioritize_dmmv,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23087:{ ""GGML_SYCL_PRIORITIZE_DMMV"", &g_ggml_sycl_prioritize_dmmv, 0 }, | L23230:GGML_LOG_INFO("" GGML_SYCL_PRIORITIZE_DMMV: %d\n"", g_ggml_sycl_prioritize_dmmv); | L49973:return !g_ggml_sycl_prioritize_dmmv;",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,370,g_ggml_sycl_use_async_mem_op,int,file,mutable,none evident,unscoped lexical candidate: L23128:g_ggml_sycl_use_async_mem_op = 0; | L51048:g_ggml_sycl_use_async_mem_op = enabled ? 1 : 0;,"unscoped lexical candidate: L23103:{ ""GGML_SYCL_ASYNC_MEM"", &g_ggml_sycl_use_async_mem_op, 0 }, | L23125:if (g_ggml_sycl_use_async_mem_op) { | L23207:GGML_LOG_INFO("" GGML_SYCL_ASYNC_MEM: %d\n"", g_ggml_sycl_use_async_mem_op);",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,371,g_ggml_sycl_kqv_force_simple,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23088:{ ""GGML_SYCL_KQV_FORCE_SIMPLE"", &g_ggml_sycl_kqv_force_simple, 0 }, | L23199:GGML_LOG_INFO("" GGML_SYCL_KQV_FORCE_SIMPLE: %d\n"", g_ggml_sycl_kqv_force_simple); | L60788:const bool force_simple_kqv = (g_ggml_sycl_kqv_force_simple || g_ggml_sycl_kqv_disable_fp16) && kqv_matmul;",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,372,g_ggml_sycl_kqv_disable_fp16,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23089:{ ""GGML_SYCL_KQV_DISABLE_FP16"", &g_ggml_sycl_kqv_disable_fp16, 0 }, | L23200:GGML_LOG_INFO("" GGML_SYCL_KQV_DISABLE_FP16: %d\n"", g_ggml_sycl_kqv_disable_fp16); | L60788:const bool force_simple_kqv = (g_ggml_sycl_kqv_force_simple || g_ggml_sycl_kqv_disable_fp16) && kqv_matmul;",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,374,g_ggml_sycl_use_xmx_gemm,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23091:{ ""GGML_SYCL_USE_XMX_GEMM"", &g_ggml_sycl_use_xmx_gemm, 0 }, | L23232:GGML_LOG_INFO("" GGML_SYCL_USE_XMX_GEMM: %d (experimental, 5-11x slower)\n"", g_ggml_sycl_use_xmx_gemm); | L23233:if (g_ggml_sycl_use_xmx_gemm) {",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,390,g_ggml_sycl_xmx_threshold,int,file,mutable,none evident,none found by unscoped lexical scan,"unscoped lexical candidate: L23095:{ ""GGML_SYCL_XMX_THRESHOLD"", &g_ggml_sycl_xmx_threshold, 64 }, | L23234:GGML_LOG_INFO("" GGML_SYCL_XMX_THRESHOLD: %d (XMX for batch < %d)\n"", g_ggml_sycl_xmx_threshold, | L23235:g_ggml_sycl_xmx_threshold);",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,393,g_ggml_sycl_unified_dispatch,std::atomic<int>,file,mutable,intrinsic:atomic,none found by unscoped lexical scan,"unscoped lexical candidate: L8919:int val = g_ggml_sycl_unified_dispatch.load(std::memory_order_acquire); | L8924:g_ggml_sycl_unified_dispatch.compare_exchange_strong(val, new_val, std::memory_order_release, | L8926:val = g_ggml_sycl_unified_dispatch.load(std::memory_order_acquire);",process or function lifetime (review required),lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,394,g_ggml_sycl_graph_recording,bool,file,mutable,thread-local,unscoped lexical candidate: L9307:g_ggml_sycl_graph_recording = true; | L9309:g_ggml_sycl_graph_recording = false; | L88148:g_ggml_sycl_graph_recording = false;,unscoped lexical candidate: L734:if (!g_ggml_sycl_graph_recording) { | L745:if (!g_ggml_sycl_graph_recording) { | L10176:g_sycl_error_context_recording = g_ggml_sycl_graph_recording;,thread,lifecycle not inferred; no binding-resolved reset analysis
ggml/src/ggml-sycl/ggml-sycl.cpp,398,g_recording_graph_ptr,sycl_ex::command_graph<sycl_ex::graph_state::modifiable> *,file,mutable,thread-local,unscoped lexical candidate: L90139:g_recording_graph_ptr = nullptr; | L90190:g_recording_graph_ptr = &moe_graph; | L91076:g_recording_graph_ptr = &seg_graph;,unscoped lexical candidate: L88145:if (g_ggml_sycl_graph_recording && node->op == GGML_OP_MUL_MAT_ID && g_recording_graph_ptr && | L88147:g_recording_graph_ptr->end_recording(); | L88170:g_recording_graph_ptr->begin_recording(*g_recording_queue_ptr);,thread,lifecycle not inferred; no binding-resolved reset analysis
